old_url,new_url,redirect_type,rationale,backlink_priority,search_traffic_priority,qa_status
/insights/build-ai-in-house-or-outsource,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/cache-invalidation-strategies-ai-agent-decision-systems-bigquery,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/checkpoint-patterns-long-running-ai-agent-tasks,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/circuit-breaker-patterns-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/claude-code-ai-agent-development,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/consensus-mechanisms-multi-agent-decision-making,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/data-foundation-for-ai,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/data-lineage-tracking-ai-agent-systems-bigquery-audit-trails,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/dead-letter-queue-patterns-failed-ai-agent-tasks,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/decision-latency-ai-agent-systems-production-viability,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/dependency-mapping-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/error-recovery-patterns-production-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/event-driven-architectures-ai-agents-real-time-operations,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/five-architecture-decisions-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/five-layers-operating-architecture,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/fragmented-tools-unified-architecture,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/gemini-enterprise-agent-platform-mid-market,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/google-adk-vs-langchain-enterprise-deployment,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/google-cloud-agent-systems-adk-gemini,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/graceful-degradation-patterns-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/hidden-cost-skipping-architecture-ai-agent-sprawl-technical-debt,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/how-ai-search-engines-cite-mid-market-firms-2026,/solutions/selection-intelligence,308,On-thesis; argued how AI engines choose which firms to cite; maps to Selection Intelligence; permanent:true in next.config.ts emits 308,unknown,unknown,passed
/insights/how-to-implement-ai-agents-business-operations,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/how-to-measure-ai-roi,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/idempotency-patterns-ai-agent-operations,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/memory-leak-patterns-ai-agent-systems-bigquery,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/multi-agent-orchestration-workflows,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/operating-architecture-professional-services,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/operational-handoff-protocols-ai-agents-transfer-work,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/partition-pruning-strategies-ai-agent-query-performance-bigquery,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/pattern-recognition-vs-rule-based-logic-ai-agents,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/performance-metrics-mid-market,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/query-cost-optimization-patterns-ai-agent-bigquery-workloads,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/rate-limiting-throttling-patterns-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/resource-contention-patterns-multi-agent-systems-bigquery,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/retry-logic-exponential-backoff-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/rpa-to-ai-agents-migration,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/schema-evolution-strategies-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/service-level-objectives-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/signal-degradation-multi-agent-systems-data-architecture,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/signal-pattern-libraries-pre-built-detection-logic-ai-agents,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/signs-operations-need-architecture,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/stateful-vs-stateless-ai-agent-design-patterns,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/task-handoff-failures-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/time-based-agent-activation-patterns-scheduling-ai-operations,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/transaction-isolation-levels-multi-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/versioning-rollback-strategies-production-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/what-ai-agent-operating-system-looks-like-production,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/what-are-ai-agents-for-business,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/what-are-multi-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/what-is-ai-agent-orchestration,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/what-is-architecture-for-autonomous-ai-agent-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/what-is-operating-architecture,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/why-ai-agent-projects-fail-production,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/why-ai-pilots-fail-mid-market,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/why-more-ai-agents-is-not-the-answer,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/lines/customer-experience,,410,Digital Assembly Line page; off-thesis under Search Intelligence Engineering; 410 Gone via src/proxy.ts,unknown,unknown,passed
/lines/marketing-operations,,410,Digital Assembly Line page; off-thesis under Search Intelligence Engineering; 410 Gone via src/proxy.ts,unknown,unknown,passed
/lines/operations,,410,Digital Assembly Line page; off-thesis under Search Intelligence Engineering; 410 Gone via src/proxy.ts,unknown,unknown,passed
/lines/sales-and-service,,410,Digital Assembly Line page; off-thesis under Search Intelligence Engineering; 410 Gone via src/proxy.ts,unknown,unknown,passed
/login,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/portal/[clientId],,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts prefix rule,none,none,passed
/portal/a2ui-test,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/portal/access-denied,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/preview,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/preview/home-v5,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/preview/insights,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/preview/lines/customer-experience,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/preview/lines/marketing-operations,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/preview/lines/operations,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/preview/lines/sales-and-service,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/pricing,,,Not disposed in this pass; remains Brandon call; currently 404,unknown,unknown,pending
/privacy,/privacy,308,Retain URL; legal review,unknown,unknown,pending
/questionnaire/[clientSlug],,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts prefix rule,none,none,passed
/questionnaire/not-available,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/results,/results,308,Retain URL; gated behind showResults flag,unknown,unknown,pending
/security,,,Not disposed in this pass; remains Brandon call; currently 404,unknown,unknown,pending
/terms,/terms,308,Retain URL; legal review,unknown,unknown,pending
